rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
6620	TGM1	transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)	681843	1	1	1	1	1	0	0	0	0	0	0.714	0.935	NaN	NaN	NaN	0.714	1.000
6621	IGF2R	insulin-like growth factor 2 receptor	2122236	3	3	3	0	0	1	1	0	1	0	0.547	0.378	0.588	0.311	0.634	0.714	1.000
6622	SYNRG	synergin, gamma	1118364	1	1	1	0	0	0	0	1	0	0	0.714	0.837	NaN	NaN	NaN	0.714	1.000
6623	SORBS2	sorbin and SH3 domain containing 2	1007668	1	1	1	1	1	0	0	0	0	0	0.715	0.873	NaN	NaN	NaN	0.715	1.000
6624	NISCH	nischarin	1282259	2	2	2	1	0	1	0	0	1	0	0.535	0.829	0.233	0.636	0.651	0.715	1.000
6625	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	1338882	1	1	1	0	1	0	0	0	0	0	0.716	0.827	NaN	NaN	NaN	0.716	1.000
6626	PPARGC1B	peroxisome proliferator-activated receptor gamma, coactivator 1 beta	819988	2	2	2	0	2	0	0	0	0	0	0.349	0.483	0.895	0.514	1.000	0.716	1.000
6627	DDB1	damage-specific DNA binding protein 1, 127kDa	980241	1	1	1	0	0	0	0	1	0	0	0.717	0.837	NaN	NaN	NaN	0.717	1.000
6628	KCNT2	potassium channel, subfamily T, member 2	966287	2	2	2	0	0	0	0	2	0	0	0.349	0.723	0.922	0.864	1.000	0.717	1.000
6629	RANBP6	RAN binding protein 6	939802	2	2	2	0	0	0	0	2	0	0	0.350	0.719	0.768	0.998	1.000	0.717	1.000
6630	NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	607503	1	1	1	0	1	0	0	0	0	0	0.718	0.671	NaN	NaN	NaN	0.718	1.000
6631	RSF1	remodeling and spacing factor 1	1184860	1	1	1	0	0	0	1	0	0	0	0.719	0.634	NaN	NaN	NaN	0.719	1.000
6632	GPR124	G protein-coupled receptor 124	774846	2	2	2	0	1	0	0	0	1	0	0.351	0.532	0.219	0.594	1.000	0.719	1.000
6633	GOLGA4	golgi autoantigen, golgin subfamily a, 4	1913381	3	3	3	0	0	1	0	0	2	0	0.351	0.475	0.657	0.948	1.000	0.719	1.000
6634	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7	1048815	2	2	2	0	0	0	0	1	1	0	0.351	0.596	0.609	0.261	1.000	0.719	1.000
6635	SIN3A	SIN3 homolog A, transcription regulator (yeast)	1103869	2	2	2	0	2	0	0	0	0	0	0.503	0.642	0.621	0.163	0.699	0.719	1.000
6636	AXIN2	axin 2 (conductin, axil)	678284	1	1	1	0	1	0	0	0	0	0	0.719	0.634	NaN	NaN	NaN	0.719	1.000
6637	GAPVD1	GTPase activating protein and VPS9 domains 1	1292538	2	2	2	0	0	1	0	1	0	0	0.421	0.588	0.401	0.176	0.835	0.720	1.000
6638	RFC1	replication factor C (activator 1) 1, 145kDa	999994	1	1	1	0	0	0	0	1	0	0	0.720	0.858	NaN	NaN	NaN	0.720	1.000
6639	PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B	908679	1	1	1	0	0	1	0	0	0	0	0.720	0.650	NaN	NaN	NaN	0.720	1.000
6640	NFRKB	nuclear factor related to kappaB binding protein	1147728	2	2	2	0	0	0	0	1	1	0	0.430	0.650	0.548	0.925	0.821	0.720	1.000
6641	ARHGAP39	Rho GTPase activating protein 39	774480	2	2	2	1	1	0	1	0	0	0	0.353	0.886	0.440	0.383	1.000	0.721	1.000
6642	RBM6	RNA binding motif protein 6	976880	1	1	1	0	1	0	0	0	0	0	0.722	0.813	NaN	NaN	NaN	0.722	1.000
6643	PPFIA2	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2	948372	1	1	1	1	0	0	0	1	0	0	0.723	0.970	NaN	NaN	NaN	0.723	1.000
6644	CLSPN	claspin homolog (Xenopus laevis)	1165333	1	1	1	0	0	0	0	0	1	0	0.723	1.000	NaN	NaN	NaN	0.723	1.000
6645	CATSPERG	catsper channel auxiliary subunit gamma	717600	1	1	1	1	1	0	0	0	0	0	0.723	0.815	NaN	NaN	NaN	0.723	1.000
6646	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	722227	2	2	2	1	1	1	0	0	0	0	0.356	0.640	0.780	0.772	1.000	0.724	1.000
6647	UNC13A	unc-13 homolog A (C. elegans)	1120924	1	1	1	0	0	0	0	0	1	0	0.724	0.850	NaN	NaN	NaN	0.724	1.000
6648	ZMYM3	zinc finger, MYM-type 3	1048199	2	2	2	2	1	0	1	0	0	0	1.000	0.971	0.376	0.199	0.356	0.724	1.000
6649	ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))	1023782	1	1	1	1	1	0	0	0	0	0	0.724	0.892	NaN	NaN	NaN	0.724	1.000
6650	CPT1A	carnitine palmitoyltransferase 1A (liver)	685629	1	1	1	1	1	0	0	0	0	0	0.724	0.910	NaN	NaN	NaN	0.724	1.000
6651	GTF2IRD1	GTF2I repeat domain containing 1	840584	1	1	1	1	1	0	0	0	0	0	0.725	0.843	NaN	NaN	NaN	0.725	1.000
6652	MIA3	melanoma inhibitory activity family, member 3	1609720	1	1	1	0	0	0	1	0	0	0	0.725	0.615	NaN	NaN	NaN	0.725	1.000
6653	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	2261836	2	2	2	0	0	1	0	1	0	0	0.779	0.638	0.238	0.255	0.459	0.725	1.000
6654	AFF1	AF4/FMR2 family, member 1	1042393	1	1	1	0	0	1	0	0	0	0	0.725	0.666	NaN	NaN	NaN	0.725	1.000
6655	SLC9A3	solute carrier family 9 (sodium/hydrogen exchanger), member 3	518778	1	1	1	1	1	0	0	0	0	0	0.725	0.867	NaN	NaN	NaN	0.725	1.000
6656	PIGO	phosphatidylinositol glycan anchor biosynthesis, class O	934999	2	2	2	1	1	0	0	1	0	0	0.358	0.879	0.972	0.998	1.000	0.726	1.000
6657	ULK4	unc-51-like kinase 4 (C. elegans)	1117491	1	1	1	0	0	0	0	1	0	0	0.726	0.837	NaN	NaN	NaN	0.726	1.000
6658	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	1156034	1	1	1	1	0	0	1	0	0	0	0.726	0.858	NaN	NaN	NaN	0.726	1.000
6659	GRIN3A	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A	870748	2	2	2	1	1	0	0	1	0	0	0.359	0.839	0.453	0.700	1.000	0.726	1.000
6660	HK3	hexokinase 3 (white cell)	740573	2	2	2	0	2	0	0	0	0	0	0.381	0.463	0.417	0.769	0.942	0.727	1.000
6661	PYGM	phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V)	701751	1	1	1	1	1	0	0	0	0	0	0.727	0.919	NaN	NaN	NaN	0.727	1.000
6662	TTC17	tetratricopeptide repeat domain 17	988849	2	2	2	0	0	1	0	1	0	0	0.360	0.561	0.812	0.708	1.000	0.728	1.000
6663	CKAP5	cytoskeleton associated protein 5	1774279	1	1	1	1	0	0	1	0	0	0	0.728	0.884	NaN	NaN	NaN	0.728	1.000
6664	RFX7	regulatory factor X, 7	1164797	2	2	2	0	1	0	0	1	0	0	0.415	0.607	0.620	0.505	0.867	0.728	1.000
6665	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	360101	2	2	2	2	1	0	0	0	1	0	0.361	0.860	0.621	0.227	1.000	0.729	1.000
6666	BOC	Boc homolog (mouse)	934668	1	1	1	0	1	0	0	0	0	0	0.729	0.656	NaN	NaN	NaN	0.729	1.000
6667	ZFC3H1	zinc finger, C3H1-type containing	1721469	3	3	3	0	1	0	1	1	0	0	0.385	0.405	0.547	0.699	0.936	0.729	1.000
6668	MYO16	myosin XVI	1445127	1	1	1	2	0	0	0	0	1	0	0.729	1.000	NaN	NaN	NaN	0.729	1.000
6669	PER3	period homolog 3 (Drosophila)	1039722	1	1	1	0	1	0	0	0	0	0	0.730	0.616	NaN	NaN	NaN	0.730	1.000
6670	LAMB1	laminin, beta 1	1553830	3	3	3	2	0	0	0	1	2	0	0.504	0.844	0.504	0.788	0.719	0.730	1.000
6671	EVC2	Ellis van Creveld syndrome 2 (limbin)	1050556	1	1	1	0	1	0	0	0	0	0	0.731	0.677	NaN	NaN	NaN	0.731	1.000
6672	PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	2457464	4	4	4	2	0	2	0	1	1	0	0.929	0.799	0.214	0.997	0.392	0.731	1.000
6673	LTBP1	latent transforming growth factor beta binding protein 1	1401395	1	1	1	1	0	0	0	0	1	0	0.732	0.893	NaN	NaN	NaN	0.732	1.000
6674	ZC3H18	zinc finger CCCH-type containing 18	736622	2	2	2	1	1	0	0	0	1	0	0.364	0.736	0.0197	0.0707	1.000	0.732	1.000
6675	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	1303123	1	1	1	2	0	0	0	0	1	0	0.732	0.914	NaN	NaN	NaN	0.732	1.000
6676	POLRMT	polymerase (RNA) mitochondrial (DNA directed)	827679	2	2	2	1	0	0	0	1	1	0	0.365	0.908	0.769	0.991	1.000	0.733	1.000
6677	CSPP1	centrosome and spindle pole associated protein 1	1095320	1	1	1	0	0	1	0	0	0	0	0.733	0.737	NaN	NaN	NaN	0.733	1.000
6678	MEGF8	multiple EGF-like-domains 8	1787172	4	4	4	1	2	2	0	0	0	0	0.365	0.440	0.775	0.626	1.000	0.733	1.000
6679	CARD14	caspase recruitment domain family, member 14	707705	1	1	1	0	1	0	0	0	0	0	0.733	0.654	NaN	NaN	NaN	0.733	1.000
6680	NUP214	nucleoporin 214kDa	1801409	2	2	2	0	0	0	0	1	1	0	0.715	0.485	0.228	0.385	0.511	0.734	1.000
6681	PARD3	par-3 partitioning defective 3 homolog (C. elegans)	1139257	1	1	1	0	0	1	0	0	0	0	0.734	0.685	NaN	NaN	NaN	0.734	1.000
6682	PITPNM2	phosphatidylinositol transfer protein, membrane-associated 2	1004175	1	1	1	1	0	0	0	0	1	0	0.734	1.000	NaN	NaN	NaN	0.734	1.000
6683	FILIP1L	filamin A interacting protein 1-like	975851	1	1	1	0	1	0	0	0	0	0	0.735	0.726	NaN	NaN	NaN	0.735	1.000
6684	GPR125	G protein-coupled receptor 125	1093206	1	1	1	0	0	1	0	0	0	0	0.735	0.674	NaN	NaN	NaN	0.735	1.000
6685	CGN	cingulin	1014750	1	1	1	1	0	0	0	1	0	0	0.735	0.924	NaN	NaN	NaN	0.735	1.000
6686	LAMC1	laminin, gamma 1 (formerly LAMB2)	1365294	2	2	2	1	0	1	1	0	0	0	0.407	0.748	0.444	0.203	0.903	0.735	1.000
6687	PER1	period homolog 1 (Drosophila)	1039905	1	1	1	1	0	1	0	0	0	0	0.736	0.885	NaN	NaN	NaN	0.736	1.000
6688	SLC27A1	solute carrier family 27 (fatty acid transporter), member 1	502580	1	1	1	0	1	0	0	0	0	0	0.736	0.651	NaN	NaN	NaN	0.736	1.000
6689	GRM5	glutamate receptor, metabotropic 5	894850	2	2	2	1	1	0	0	1	0	0	0.373	0.781	0.954	0.389	0.986	0.736	1.000
6690	PPFIA3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	930445	1	1	1	1	0	0	0	1	0	0	0.736	0.946	NaN	NaN	NaN	0.736	1.000
6691	DNHD1	dynein heavy chain domain 1	1322636	1	1	1	0	0	0	0	0	1	0	0.736	0.814	NaN	NaN	NaN	0.736	1.000
6692	VPS16	vacuolar protein sorting 16 homolog (S. cerevisiae)	723531	2	2	2	0	2	0	0	0	0	0	0.369	0.536	0.666	0.217	1.000	0.737	1.000
6693	BAZ2B	bromodomain adjacent to zinc finger domain, 2B	1857578	1	1	1	0	0	0	1	0	0	0	0.737	0.602	NaN	NaN	NaN	0.737	1.000
6694	PCSK5	proprotein convertase subtilisin/kexin type 5	799308	1	1	1	0	0	0	0	1	0	0	0.737	0.851	NaN	NaN	NaN	0.737	1.000
6695	RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)	1056880	1	1	1	0	1	0	0	0	0	0	0.738	0.702	NaN	NaN	NaN	0.738	1.000
6696	MYO7A	myosin VIIA	1296354	1	1	1	0	0	0	1	0	0	0	0.738	0.852	NaN	NaN	NaN	0.738	1.000
6697	C2orf71	chromosome 2 open reading frame 71	1073502	1	1	1	0	0	1	0	0	0	0	0.738	0.624	NaN	NaN	NaN	0.738	1.000
6698	WDFY3	WD repeat and FYVE domain containing 3	3072533	4	4	4	0	2	0	0	1	1	0	0.486	0.316	0.592	0.762	0.761	0.738	1.000
6699	TMEM132E	transmembrane protein 132E	732466	2	2	2	0	1	0	0	1	0	0	0.388	0.520	0.439	0.604	0.955	0.739	1.000
6700	HSPG2	heparan sulfate proteoglycan 2	3341507	8	8	8	0	3	2	0	2	1	0	0.371	0.0404	0.947	0.644	1.000	0.739	1.000
6701	RGPD3	RANBP2-like and GRIP domain containing 3	1036266	2	2	2	0	0	0	0	2	0	0	0.372	0.723	0.570	0.496	1.000	0.740	1.000
6702	GMIP	GEM interacting protein	759435	1	1	1	0	1	0	0	0	0	0	0.740	0.691	NaN	NaN	NaN	0.740	1.000
6703	UNC13B	unc-13 homolog B (C. elegans)	1385931	1	1	1	1	0	0	0	0	1	0	0.740	0.939	NaN	NaN	NaN	0.740	1.000
6704	FNIP2	folliculin interacting protein 2	923174	1	1	1	1	0	0	0	1	0	0	0.740	0.951	NaN	NaN	NaN	0.740	1.000
6705	DLG4	discs, large homolog 4 (Drosophila)	629772	2	2	2	0	2	0	0	0	0	0	0.373	0.475	0.364	0.499	1.000	0.741	1.000
6706	DENND3	DENN/MADD domain containing 3	1023654	1	1	1	1	1	0	0	0	0	0	0.741	0.823	NaN	NaN	NaN	0.741	1.000
6707	BAZ2A	bromodomain adjacent to zinc finger domain, 2A	1517577	1	1	1	0	0	1	0	0	0	0	0.741	0.633	NaN	NaN	NaN	0.741	1.000
6708	SGSM1	small G protein signaling modulator 1	915037	2	2	2	0	1	0	0	0	1	0	0.413	0.408	0.825	0.413	0.904	0.742	1.000
6709	MYO1E	myosin IE	960550	1	1	1	0	0	0	0	1	0	0	0.742	0.856	NaN	NaN	NaN	0.742	1.000
6710	ATXN1	ataxin 1	660305	1	1	1	0	1	0	0	0	0	0	0.742	0.569	NaN	NaN	NaN	0.742	1.000
6711	SUPT6H	suppressor of Ty 6 homolog (S. cerevisiae)	1500002	1	1	1	0	0	0	0	0	1	0	0.742	0.592	NaN	NaN	NaN	0.742	1.000
6712	ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	876098	2	2	2	0	2	0	0	0	0	0	0.459	0.445	0.339	0.852	0.816	0.742	1.000
6713	RBP3	retinol binding protein 3, interstitial	1054122	2	2	2	1	1	0	0	1	0	0	0.460	0.765	0.474	0.834	0.814	0.743	1.000
6714	MYCBPAP	MYCBP associated protein	822927	1	1	1	0	1	0	0	0	0	0	0.743	0.767	NaN	NaN	NaN	0.743	1.000
6715	EFCAB6	EF-hand calcium binding domain 6	1307775	1	1	1	0	0	1	0	0	0	0	0.745	0.628	NaN	NaN	NaN	0.745	1.000
6716	ATP9B	ATPase, class II, type 9B	973858	2	2	2	0	1	0	0	1	0	0	0.377	0.534	0.821	0.197	1.000	0.745	1.000
6717	COL20A1	collagen, type XX, alpha 1	770137	2	2	2	2	1	1	0	0	0	0	0.774	0.890	0.172	0.660	0.487	0.745	1.000
6718	RIMBP2	RIMS binding protein 2	871748	5	5	4	5	5	0	0	0	0	0	1.000	0.843	0.253	0.708	0.379	0.746	1.000
6719	XYLT1	xylosyltransferase I	724497	1	1	1	0	1	0	0	0	0	0	0.747	0.668	NaN	NaN	NaN	0.747	1.000
6720	HDAC6	histone deacetylase 6	919275	1	1	1	0	1	0	0	0	0	0	0.747	0.717	NaN	NaN	NaN	0.747	1.000
6721	JARID2	jumonji, AT rich interactive domain 2	1028578	1	1	1	1	0	0	0	1	0	0	0.747	0.930	NaN	NaN	NaN	0.747	1.000
6722	TAOK2	TAO kinase 2	1265286	1	1	1	0	0	1	0	0	0	0	0.748	0.561	NaN	NaN	NaN	0.748	1.000
6723	RICTOR	RPTOR independent companion of MTOR, complex 2	1470859	2	2	2	0	0	1	0	1	0	0	0.381	0.609	0.768	0.800	1.000	0.749	1.000
6724	MAP3K15	mitogen-activated protein kinase kinase kinase 15	925577	2	2	2	0	1	0	0	1	0	0	0.381	0.566	0.512	0.742	1.000	0.749	1.000
6725	ACIN1	apoptotic chromatin condensation inducer 1	1136511	2	2	2	0	1	0	0	0	1	0	0.430	0.708	0.825	0.427	0.887	0.749	1.000
6726	PCDHGA10	protocadherin gamma subfamily A, 10	807895	1	1	1	0	1	0	0	0	0	0	0.749	0.594	NaN	NaN	NaN	0.749	1.000
6727	ANKAR	ankyrin and armadillo repeat containing	1230709	1	1	1	1	0	0	0	1	0	0	0.750	0.959	NaN	NaN	NaN	0.750	1.000
6728	RTEL1	regulator of telomere elongation helicase 1	1090715	1	1	1	0	0	1	0	0	0	0	0.750	0.578	NaN	NaN	NaN	0.750	1.000
6729	CUL9	cullin 9	2168737	3	3	3	1	0	1	0	1	1	0	0.633	0.726	0.428	0.662	0.604	0.750	1.000
6730	PLIN4	perilipin 4	1102105	1	1	1	1	0	0	0	1	0	0	0.750	0.896	NaN	NaN	NaN	0.750	1.000
6731	RNF31	ring finger protein 31	902863	2	2	2	0	0	0	0	2	0	0	0.431	0.675	0.539	0.868	0.889	0.751	1.000
6732	CACNA2D4	calcium channel, voltage-dependent, alpha 2/delta subunit 4	862515	1	1	1	0	1	0	0	0	0	0	0.751	0.616	NaN	NaN	NaN	0.751	1.000
6733	CD6	CD6 molecule	438468	2	2	2	2	1	0	0	1	0	0	0.384	0.963	0.666	0.967	1.000	0.751	1.000
6734	CPN2	carboxypeptidase N, polypeptide 2	464214	2	2	2	2	1	1	0	0	0	0	0.428	0.780	0.307	0.841	0.898	0.751	1.000
6735	SALL1	sal-like 1 (Drosophila)	1120246	1	1	1	0	0	0	0	1	0	0	0.752	0.826	NaN	NaN	NaN	0.752	1.000
6736	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	948046	1	1	1	0	1	0	0	0	0	0	0.752	0.682	NaN	NaN	NaN	0.752	1.000
6737	CDH22	cadherin-like 22	546688	1	1	1	1	1	0	0	0	0	0	0.753	0.840	NaN	NaN	NaN	0.753	1.000
6738	TP53BP1	tumor protein p53 binding protein 1	1710613	1	1	1	1	0	0	0	0	1	0	0.753	0.952	NaN	NaN	NaN	0.753	1.000
6739	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	1332751	2	2	2	0	1	0	0	1	0	0	0.605	0.557	0.544	0.407	0.638	0.753	1.000
6740	SHPRH	SNF2 histone linker PHD RING helicase	1458711	2	2	2	0	0	1	1	0	0	0	0.387	0.446	0.915	0.454	1.000	0.754	1.000
6741	UBAP2L	ubiquitin associated protein 2-like	951381	2	2	2	0	1	1	0	0	0	0	0.387	0.436	0.984	0.860	1.000	0.754	1.000
6742	COL1A1	collagen, type I, alpha 1	1205993	1	1	1	2	0	0	0	0	1	0	0.755	0.973	NaN	NaN	NaN	0.755	1.000
6743	SIPA1L1	signal-induced proliferation-associated 1 like 1	1555895	3	3	3	0	1	2	0	0	0	0	0.388	0.289	0.569	0.495	1.000	0.755	1.000
6744	ARID5B	AT rich interactive domain 5B (MRF1-like)	1015745	1	1	1	0	0	0	0	0	1	0	0.756	0.841	NaN	NaN	NaN	0.756	1.000
6745	CCDC18	coiled-coil domain containing 18	1225264	2	2	2	0	1	1	0	0	0	0	0.448	0.516	0.608	0.781	0.870	0.757	1.000
6746	LRRK2	leucine-rich repeat kinase 2	2189269	3	3	3	1	0	0	1	1	1	0	0.390	0.823	0.837	0.923	1.000	0.757	1.000
6747	EML5	echinoderm microtubule associated protein like 5	1503228	2	2	2	2	1	0	0	0	1	0	0.689	0.957	0.285	0.861	0.567	0.758	1.000
6748	MYO3B	myosin IIIB	1178491	2	2	2	0	0	0	2	0	0	0	0.391	0.469	0.700	0.612	1.000	0.758	1.000
6749	ROR2	receptor tyrosine kinase-like orphan receptor 2	772449	1	1	1	1	1	0	0	0	0	0	0.758	0.835	NaN	NaN	NaN	0.758	1.000
6750	SCAF1	SR-related CTD-associated factor 1	657258	1	1	1	0	1	0	0	0	0	0	0.759	0.682	NaN	NaN	NaN	0.759	1.000
6751	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	1392294	5	5	5	3	3	0	0	1	1	0	0.632	0.805	0.473	0.684	0.621	0.759	1.000
6752	EHBP1	EH domain binding protein 1	1035661	1	1	1	0	0	0	0	1	0	0	0.759	0.858	NaN	NaN	NaN	0.759	1.000
6753	PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	1468182	1	1	1	0	1	0	0	0	0	0	0.760	0.774	NaN	NaN	NaN	0.760	1.000
6754	KLB	klotho beta	892810	1	1	1	1	0	0	0	1	0	0	0.761	0.941	NaN	NaN	NaN	0.761	1.000
6755	ABL1	c-abl oncogene 1, receptor tyrosine kinase	986613	2	2	2	0	1	0	0	1	0	0	0.394	0.521	0.772	0.742	1.000	0.761	1.000
6756	KIF15	kinesin family member 15	1217727	1	1	1	0	0	0	0	1	0	0	0.763	0.867	NaN	NaN	NaN	0.763	1.000
6757	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	1064259	1	1	1	1	0	0	0	1	0	0	0.763	0.947	NaN	NaN	NaN	0.763	1.000
6758	MYO5A	myosin VA (heavy chain 12, myoxin)	1606814	1	1	1	0	0	0	0	1	0	0	0.764	0.854	NaN	NaN	NaN	0.764	1.000
6759	SORBS1	sorbin and SH3 domain containing 1	1143790	2	2	2	0	0	0	0	2	0	0	0.397	0.678	0.931	0.952	1.000	0.764	1.000
6760	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	1277886	1	1	1	0	0	0	1	0	0	0	0.764	0.820	NaN	NaN	NaN	0.764	1.000
6761	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	1037393	2	2	2	0	1	0	0	1	0	0	0.398	0.567	0.561	0.991	1.000	0.764	1.000
6762	TTC21A	tetratricopeptide repeat domain 21A	1154472	2	2	2	0	1	0	0	1	0	0	0.519	0.581	0.142	0.920	0.766	0.764	1.000
6763	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	1151108	1	1	1	0	1	0	0	0	0	0	0.765	0.666	NaN	NaN	NaN	0.765	1.000
6764	GLG1	golgi apparatus protein 1	997289	1	1	1	0	0	0	0	1	0	0	0.765	0.859	NaN	NaN	NaN	0.765	1.000
6765	LTBP4	latent transforming growth factor beta binding protein 4	1038591	1	1	1	1	0	0	0	1	0	0	0.766	0.938	NaN	NaN	NaN	0.766	1.000
6766	KIAA0368	KIAA0368	1530575	1	1	1	1	0	1	0	0	0	0	0.767	0.907	NaN	NaN	NaN	0.767	1.000
6767	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	1026070	2	2	2	2	0	1	1	0	0	0	1.000	0.901	0.304	0.195	0.401	0.768	1.000
6768	CHD4	chromodomain helicase DNA binding protein 4	1668282	1	1	1	0	0	1	0	0	0	0	0.768	0.622	NaN	NaN	NaN	0.768	1.000
6769	ZCCHC6	zinc finger, CCHC domain containing 6	1297987	1	1	1	0	0	0	1	0	0	0	0.768	0.638	NaN	NaN	NaN	0.768	1.000
6770	CCNB3	cyclin B3	1176229	2	2	2	0	0	1	0	1	0	0	0.402	0.499	0.640	0.908	1.000	0.768	1.000
6771	COL18A1	collagen, type XVIII, alpha 1	996155	2	2	2	1	0	0	0	0	2	0	0.402	1.000	0.574	0.899	1.000	0.768	1.000
6772	PCM1	pericentriolar material 1	1494443	1	1	1	0	0	0	0	0	1	0	0.768	1.000	NaN	NaN	NaN	0.768	1.000
6773	ANKFY1	ankyrin repeat and FYVE domain containing 1	1009360	1	1	1	0	1	0	0	0	0	0	0.769	0.633	NaN	NaN	NaN	0.769	1.000
6774	ALK	anaplastic lymphoma receptor tyrosine kinase	1338362	2	2	2	0	1	0	0	0	1	0	0.451	0.413	0.768	0.682	0.894	0.769	1.000
6775	TPCN1	two pore segment channel 1	746868	2	2	2	1	2	0	0	0	0	0	0.403	0.820	0.368	0.379	1.000	0.769	1.000
6776	PIK3C2B	phosphoinositide-3-kinase, class 2, beta polypeptide	1376363	1	1	1	0	0	0	0	1	0	0	0.770	0.829	NaN	NaN	NaN	0.770	1.000
6777	PLEKHG2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	1097414	2	2	2	3	0	2	0	0	0	0	1.000	0.974	0.223	0.308	0.404	0.770	1.000
6778	HEATR6	HEAT repeat containing 6	998423	1	1	1	0	0	0	0	1	0	0	0.770	0.825	NaN	NaN	NaN	0.770	1.000
6779	PFKL	phosphofructokinase, liver	621955	1	1	1	1	1	0	0	0	0	0	0.771	0.830	NaN	NaN	NaN	0.771	1.000
6780	C11orf30	chromosome 11 open reading frame 30	1142911	1	1	1	0	0	0	0	1	0	0	0.771	0.808	NaN	NaN	NaN	0.771	1.000
6781	KIAA1755	KIAA1755	1012174	1	1	1	1	0	1	0	0	0	0	0.771	0.924	NaN	NaN	NaN	0.771	1.000
6782	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	1898956	1	1	1	1	0	1	0	0	0	0	0.772	0.891	NaN	NaN	NaN	0.772	1.000
6783	SSH2	slingshot homolog 2 (Drosophila)	1217933	1	1	1	0	0	0	0	1	0	0	0.772	0.840	NaN	NaN	NaN	0.772	1.000
6784	DHX38	DEAH (Asp-Glu-Ala-His) box polypeptide 38	1007484	1	1	1	0	1	0	0	0	0	0	0.772	0.719	NaN	NaN	NaN	0.772	1.000
6785	MORC2	MORC family CW-type zinc finger 2	849677	1	1	1	0	1	0	0	0	0	0	0.773	0.781	NaN	NaN	NaN	0.773	1.000
6786	XIRP2	xin actin-binding repeat containing 2	3453416	8	8	8	3	3	0	4	0	1	0	0.578	0.508	0.306	0.983	0.705	0.773	1.000
6787	RC3H2	ring finger and CCCH-type zinc finger domains 2	1056522	1	1	1	0	1	0	0	0	0	0	0.774	0.750	NaN	NaN	NaN	0.774	1.000
6788	AMPD2	adenosine monophosphate deaminase 2 (isoform L)	750029	1	1	1	1	1	0	0	0	0	0	0.774	0.865	NaN	NaN	NaN	0.774	1.000
6789	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	1056885	2	2	2	0	1	0	0	1	0	0	0.408	0.660	0.930	0.714	1.000	0.774	1.000
6790	PCNT	pericentrin	2724411	2	2	2	0	1	0	1	0	0	0	0.908	0.475	0.142	0.476	0.450	0.774	1.000
6791	SEMA4F	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	643797	2	2	2	2	1	0	0	0	1	0	0.409	0.977	0.327	0.978	1.000	0.775	1.000
6792	OPLAH	5-oxoprolinase (ATP-hydrolysing)	790458	1	1	1	0	1	0	0	0	0	0	0.775	0.669	NaN	NaN	NaN	0.775	1.000
6793	PXDN	peroxidasin homolog (Drosophila)	1087099	1	1	1	0	0	0	0	1	0	0	0.775	0.822	NaN	NaN	NaN	0.775	1.000
6794	AEBP1	AE binding protein 1	948373	1	1	1	1	1	0	0	0	0	0	0.776	0.896	NaN	NaN	NaN	0.776	1.000
